Title,Conference,Type,Application,MLTech,OpenReviewLink
Adaptive Droplet Routing in Digital Microfluidic Biochips Using Deep Reinforcement Learning,ICML_2020,Poster,Biology,Reinforcement_Learning,https://openreview.net/forum?id=vFsyHVU6Ice
A Generative Model for Molecular Distance Geometry,ICML_2020,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=uVEybXgI63
A Markov Decision Process Model for Socio-Economic Systems Impacted by Climate Change,ICML_2020,Poster,Climate,Optimization,https://openreview.net/forum?id=D7XgIg4VPHVc
Combining Differentiable PDE Solvers and Graph Neural Networks for Fluid Flow Prediction,ICML_2020,Poster,Physics,Neural_Network,https://openreview.net/forum?id=bKMi5wLLR6G
Deep Molecular Programming: A Natural Implementation of Binary-Weight ReLU Neural Networks,ICML_2020,Poster,Biology,Neural_Network,https://openreview.net/forum?id=bKMi5wLLR6G
Feature Selection using Stochastic Gates,ICML_2020,Poster,Biology,Optimization,https://openreview.net/forum?id=B1lda1HtvB
Implicit Geometric Regularization for Learning Shapes,ICML_2020,Poster,Math,Optimization,https://openreview.net/forum?id=OFGu0_hHUA
Learning to Navigate The Synthetically Accessible Chemical Space Using Reinforcement Learning,ICML_2020,Poster,Chemistry,Reinforcement_Learning,https://openreview.net/forum?id=H-NSJ71Irg9
Learning to Simulate Complex Physics with Graph Networks,ICML_2020,Poster,Physics,Graph_Neural_network,https://proceedings.mlr.press/v119/sanchez-gonzalez20a.html
Lorentz Group Equivariant Neural Network for Particle Physics,ICML_2020,Poster,Physics,Neural_Network,https://openreview.net/forum?id=u1eFRTF0Lyz
Quantum Expectation-Maximization for Gaussian mixture model,ICML_2020,Poster,Math,Optimization,https://openreview.net/forum?id=lMMZU8_IwL7
Reinforcement Learning for Molecular Design Guided by Quantum Mechanics,ICML_2020,Poster,Physics,Reinforcement_Learning,https://openreview.net/forum?id=Spc69K1Uh_
Scalable Differentiable Physics for Learning and Control,ICML_2020,Poster,Physics,Optimization,https://openreview.net/forum?id=A28NViln18y
TrajectoryNet: A Dynamic Optimal Transport Network for Modeling Cellular Dynamics,ICML_2020,Poster,Biology,Supervised_Learning,https://openreview.net/forum?id=1wUl2FU3_g5
Visual Grounding of Learned Physical Models,ICML_2020,Poster,Neuroscience,Neural_Network,https://openreview.net/forum?id=gDSFrD9fC3
