Title,Conference,Type,Application,MLTech,OpenReviewLink
Expressivity and Generalization: Fragment-Biases for Molecular GNNs,ICML_2024,Oral,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=rPm5cKb1VB
AlphaFold Meets Flow Matching for Generating Protein Ensembles,ICML_2024,Oral,Biology,Generative_Model,https://openreview.net/forum?id=rs8Sh2UASt
EquiPocket: an E(3)-Equivariant Geometric Graph Neural Network for Ligand Binding Site Prediction,ICML_2024,Oral,Biology,Graph_Neural_Network,https://openreview.net/forum?id=1vGN3CSxVs
Self-Consistency Training for Density-Functional-Theory Hamiltonian Prediction,ICML_2024,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=Vw4Yar2fmW
TENG: Time-Evolving Natural Gradient for Solving PDEs With Deep Neural Nets Toward Machine Precision,ICML_2024,Poster,Math,Neural_Network,https://openreview.net/forum?id=v1I4zRAjMb
Cell2Sentence: Teaching Large Language Models the Language of Biology,ICML_2024,Poster,Biology,Langurage_Model,https://openreview.net/forum?id=EWt5wsEdvc
"Antibody Design Using a Score-based Diffusion Model Guided by Evolutionary, Physical and Geometric Constraints",ICML_2024,Poster,Biology,Generative_Model,https://openreview.net/forum?id=1YsQI04KaN
Predicting and Interpreting Energy Barriers of Metallic Glasses with Graph Neural Networks,ICML_2024,Poster,Materials,Graph_Neural_Network,https://openreview.net/forum?id=7rTbqkKvA6
Generalist Equivariant Transformer Towards 3D Molecular Interaction Learning,ICML_2024,Poster,Chemistry,Transformer,https://openreview.net/forum?id=dWxb80a0TW
Caduceus: Bi-Directional Equivariant Long-Range DNA Sequence Modeling,ICML_2024,Poster,Biology,Transformer,https://openreview.net/forum?id=mk3A5IUdn8
Reservoir Computing for Short High-Dimensional Time Series: an Application to SARS-CoV-2 Hospitalization Forecast,ICML_2024,Poster,Biology,Reservoir_Computing,https://openreview.net/forum?id=CY0lFwD4qx
Protein Conformation Generation via Force-Guided SE(3) Diffusion Models,ICML_2024,Poster,Biology,Generative_Model,https://openreview.net/forum?id=aC1LSa4nXs
