Title,Conference,Type,Application,MLTech,OpenReviewLink
Ab-Initio Potential Energy Surfaces by Pairing GNNs with Neural Wave Functions,ICLR_2022,Poster,Physics,Graph_Neural_Network,https://openreview.net/forum?id=apv504XsysP
A Biologically Interpretable Graph Convolutional Network to Link Genetic Risk Pathways and Imaging Phenotypes of Disease ,ICLR_2022,Poster,Biology,,https://openreview.net/forum?id=Lwr8We4MIxn
Amortized Tree Generation for Bottom-up Synthesis Planning and Synthesizable Molecular Design,ICLR_2022,Poster,Chemistry,,https://openreview.net/forum?id=FRxhHdnxt1
An Autoregressive Flow Model for 3D Molecular Geometry Generation from Scratch,ICLR_2022,Poster,Chemistry,,https://openreview.net/forum?id=C03Ajc-NS5W
Ancestral protein sequence reconstruction using a tree-structured Ornstein-Uhlenbeck variational autoencoder,ICLR_2022,Poster,Biology,Generative_Model,https://openreview.net/forum?id=FZoZ7a31GCW
Chemical-Reaction-Aware Molecule Representation Learning,ICLR_2022,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=6sh3pIzKS-
ClimateGAN: Raising Climate Change Awareness by Generating Images of Floods,ICLR_2022,Poster,Earth_Sciences,Representation_Learning,https://openreview.net/forum?id=EZNOb_uNpJk
Connectome-constrained Latent Variable Model of Whole-Brain Neural Activity,ICLR_2022,Poster,Neurosciences,Generative_Model,https://openreview.net/forum?id=CJzi3dRlJE-
Constrained Physical-Statistics Models for Dynamical System Identification and Prediction,ICLR_2022,Poster,Physics,,https://openreview.net/forum?id=gbe1zHyA73
Contact Points Discovery for Soft-Body Manipulations with Differentiable Physics,ICLR_2022,Poster,Physics,,https://openreview.net/forum?id=mmUA7_O9mjY
Crystal Diffusion Variational Autoencoder for Periodic Material Generation,ICLR_2022,Poster,Materials,Graph_Neural_Network,https://openreview.net/forum?id=03RLpj-tc_
Curriculum learning as a tool to uncover learning principles in the brain ,ICLR_2022,Poster,Neurosciences,,https://openreview.net/forum?id=TpJMvo0_pu-
Data-Efficient Graph Grammar Learning for Molecular Generation,ICLR_2022,Poster,Chemistry,,https://openreview.net/forum?id=l4IHywGq6a
Differentiable Scaffolding Tree for Molecule Optimization,ICLR_2022,Poster,Chemistry,Optimization,https://openreview.net/forum?id=w_drCosT76
DiffSkill: Skill Abstraction from Differentiable Physics for Deformable Object Manipulations with Tools,ICLR_2022,Poster,Physics,,https://openreview.net/forum?id=Kef8cKdHWpP
Discovering Nonlinear PDEs from Scarce Data with Physics-encoded Learning,ICLR_2022,Poster,Physics,,https://openreview.net/forum?id=Vog_3GXsgmb
Equivariant Transformers for Neural Network based Molecular Potentials,ICLR_2022,Poster,Chemistry,Neural_Network,https://openreview.net/forum?id=zNHzqZ9wrRB
Fine-grained Differentiable Physics: A Yarn-level Model for Fabrics,ICLR_2022,Poster,Physics,,https://openreview.net/forum?id=KPEFXR1HdIo
GeneDisco: A Benchmark for Experimental Design in Drug Discovery,ICLR_2022,Poster,Chemistry,,https://openreview.net/forum?id=-w2oomO6qgc
GeoDiff: A Geometric Diffusion Model for Molecular Conformation Generation,ICLR_2022,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=PzcvxEMzvQC
Geometric and Physical Quantities improve E(3) Equivariant Message Passing,ICLR_2022,Poster,Chemistry,,https://openreview.net/forum?id=_xwr8gOBeV1
Geometric Transformers for Protein Interface Contact Prediction,ICLR_2022,Poster,Biology,,https://openreview.net/forum?id=CS4463zx6Hi
Graph Neural Networks with Learnable Structural and Positional Representations,ICLR_2022,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=wTTjnvGphYj
Half-Inverse Gradients for Physical Deep Learning,ICLR_2022,Poster,Physics,,https://openreview.net/forum?id=HTx7vrlLBEj
Independent SE(3)-Equivariant Models for End-to-End Rigid Protein Docking,ICLR_2022,Poster,Biology,Graph_Neural_Network,https://openreview.net/forum?id=GQjaI9mLet
Iterative Refinement Graph Neural Network for Antibody Sequence-Structure Co-design,ICLR_2022,Poster,Medical_Sciences,Generative_Model,https://openreview.net/forum?id=LI2bhrE_2A
Learning 3D Representations of Molecular Chirality with Invariance to Bond Rotations,ICLR_2022,Poster,Chemistry,,https://openreview.net/forum?id=hm2tNDdgaFK
Learning the Dynamics of Physical Systems from Sparse Observations with Finite Element Networks,ICLR_2022,Poster,Math,,https://openreview.net/forum?id=HFmAukZ-k-2
Learning to Extend Molecular Scaffolds with Structural Motifs,ICLR_2022,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=ZTsoE8G3GG
"Machine Learning For Elliptic PDEs: Fast Rate Generalization Bound, Neural Scaling Law and Minimax Optimality",ICLR_2022,Poster,Math,,https://openreview.net/forum?id=mhYUBYNoGz
Message Passing Neural PDE Solvers,ICLR_2022,Poster,Math,,https://openreview.net/forum?id=vSix3HPYKSU
OntoProtein: Protein Pretraining With Gene Ontology Embedding,ICLR_2022,Poster,Biology,,https://openreview.net/forum?id=yfe1VMYAXa4
Predicting Physics in Mesh-reduced Space with Temporal Attention,ICLR_2022,Poster,Physics,Graph_Neural_Network,https://openreview.net/forum?id=XctLdNfCmP
Pre-training Molecular Graph Representation with 3D Geometry,ICLR_2022,Poster,Chemistry,,https://openreview.net/forum?id=xQUe1pOKPam
