Title,Conference,Type,Application,MLTech,OpenReviewLink
Augmenting Genetic Algorithms with Deep Neural Networks for Exploring the Chemical Space,ICLR_2020,Poster,Chemistry,Neural_Network,https://openreview.net/forum?id=H1lmyRNFvr
CoPhy: Counterfactual Learning of Physical Dynamics,ICLR_2020,Poster,Physics,,https://openreview.net/forum?id=SkeyppEFvS
Deep neuroethology of a virtual rodent,ICLR_2020,Poster,Neuroscience,Neural_Network,https://openreview.net/forum?id=EX_0dcRKj3_
DiffTaichi: Differentiable Programming for Physical Simulation,ICLR_2020,Poster,Physics,,https://openreview.net/forum?id=B1eB5xSFvr
Directional Message Passing for Molecular Graphs,ICLR_2020,Poster,Chemistry,,https://openreview.net/forum?id=UNehVQsVtu7
Emergence of functional and structural properties of the head direction system by optimization of recurrent neural networks,ICLR_2020,Poster,Neuroscience,Neural_Network,https://openreview.net/forum?id=HklSeREtPB
Energy-based models for atomic-resolution protein conformations,ICLR_2020,Poster,Biology,,https://openreview.net/forum?id=TTupsr222um
GraphAF: a Flow-based Autoregressive Model for Molecular Graph Generation,ICLR_2020,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=S1esMkHYPr
Inductive Matrix Completion Based on Graph Neural Networks,ICLR_2020,Poster,Math,Graph_Neural_Network,https://openreview.net/forum?id=ByxxgCEYDS
Learning to Control PDEs with Differentiable Physics,ICLR_2020,Poster,Physics,,https://openreview.net/forum?id=HyeSin4FPB
Model-based reinforcement learning for biological sequence design,ICLR_2020,Poster,Biology,Reinforcement_Learning,https://openreview.net/forum?id=HklxbgBKvr
On Robustness of Neural Ordinary Differential Equations,ICLR_2020,Poster,General,,https://openreview.net/forum?id=B1e9Y2NYvS
Physics-as-Inverse-Graphics: Unsupervised Physical Parameter Estimation from Video,ICLR_2020,Poster,Physics,,https://openreview.net/forum?id=BJeKwTNFvB
Physics-aware Difference Graph Networks for Sparsely-Observed Dynamics,ICLR_2020,Poster,Physics,Graph_Neural_Network,https://openreview.net/forum?id=r1gelyrtwH
Reconstructing continuous distributions of 3D protein structure from cryo-EM images,ICLR_2020,Poster,Biology,,https://openreview.net/forum?id=SJxUjlBtwB
Structured Object-Aware Physics Prediction for Video Modeling and Planning,ICLR_2020,Poster,Physics,,https://openreview.net/forum?id=B1e-kxSKDH
